2020,80以下,3727,1146,1760,821,30.75,47.22,22.03
2020,80到200,508,187,286,35,36.81,56.3,6.89
2020,200以上,145,51,89,5,35.17,61.38,3.45
2019,80以下,5016,1151,1450,2415,22.95,28.91,48.15
2019,80到200,299,84,95,120,28.09,31.77,40.13
2019,200以上,72,17,34,21,23.61,47.22,29.17
2018,80以下,6092,1545,2221,2326,25.36,36.46,38.18
2018,80到200,950,354,424,172,37.26,44.63,18.11
2018,200以上,352,131,153,68,37.22,43.47,19.32
2017,80以下,3663,883,1099,1681,24.11,30.0,45.89
2017,80到200,360,135,147,78,37.5,40.83,21.67
2017,200以上,124,39,46,39,31.45,37.1,31.45
2016,80以下,4127,982,1241,1904,23.79,30.07,46.14
2016,80到200,363,132,130,101,36.36,35.81,27.82
2016,200以上,137,47,47,43,34.31,34.31,31.39
